2025-09-27 11:53:23 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:25 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:27 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:29 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:32 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:34 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:36 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:38 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:40 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:42 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:46 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:48 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:53 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:55 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:57 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:59 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:01 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:03 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:05 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:07 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:09 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:12 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:14 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:18 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:20 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:24 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:31 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:33 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:35 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:37 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:39 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:54:43 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:43 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:45 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:59:48 - ui.charts_window - INFO - Charts data refreshed from Tree view
